comparison,candidate_arm,candidate_label,baseline_arm,baseline_label,dataset,horizon,candidate_mse,baseline_mse,relative_mse_pct,mse_win,candidate_mae,baseline_mae,relative_mae_pct,mae_win
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,96,0.30038490891456604,0.30893898010253906,-2.768854608484128,True,0.36067816615104675,0.364199161529541,-0.9667774532228446,True
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,192,0.3600446879863739,0.36851921677589417,-2.2996165203167274,True,0.3976547122001648,0.403163880109787,-1.3664835024709943,True
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,336,0.38481107354164124,0.383066326379776,0.4554686856331758,False,0.417906254529953,0.4179953932762146,-0.021325293937557444,True
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,720,0.4053248167037964,0.4101856052875519,-1.1850217367691207,True,0.4401552379131317,0.44332125782966614,-0.7141592830522181,True
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,96,0.14961275458335876,0.1509237140417099,-0.8686239049145228,True,0.19720417261123657,0.1995583176612854,-1.179677739138174,True
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,192,0.19565552473068237,0.1951702982187271,0.24861698546541078,False,0.2397983968257904,0.2407691329717636,-0.40318131065706364,True
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,336,0.2514638900756836,0.24785242974758148,1.4571010386220884,False,0.2812526822090149,0.280915766954422,0.11993461892352286,False
anchor_vs_single_prefix_base,F1-A0,F1-A0_single_prefix_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,720,0.3308134377002716,0.3234710395336151,2.2698780630386217,False,0.3356192409992218,0.3341345191001892,0.444348552502416,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,96,0.3123168647289276,0.30031517148017883,3.996365947679381,False,0.3626645505428314,0.35893383622169495,1.0393877491204906,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,192,0.37373989820480347,0.3604849576950073,3.6769746495249445,False,0.4026046693325043,0.3980604410171509,1.1415925440221297,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,0.38263553380966187,0.3780958354473114,1.2006739923436927,False,0.41655221581459045,0.41389650106430054,0.6416374005242753,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,0.42043039202690125,0.4029088020324707,4.348773197816236,False,0.4470548927783966,0.43718889355659485,2.256690269860351,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,96,0.14984364807605743,0.14891685545444489,0.6223557560252502,False,0.1995818167924881,0.19556677341461182,2.0530294117826253,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,192,0.1934180110692978,0.1931014060974121,0.16395788010261647,False,0.2409714311361313,0.23863273859024048,0.9800384304798238,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,0.24556519091129303,0.2458879053592682,-0.1312445390527217,True,0.2811708450317383,0.2796083986759186,0.558798077317646,False
anchor_vs_r3_base,F1-A1,F1-A1_r3_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,0.3204825520515442,0.3233675956726074,-0.8921869908029345,True,0.3333457112312317,0.33409297466278076,-0.2236693041220983,True
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,96,0.30038490891456604,0.30031517148017883,0.023221415702545656,False,0.36067816615104675,0.35893383622169495,0.48597533955379024,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,192,0.3600446879863739,0.3604849576950073,-0.1221326158651892,True,0.3976547122001648,0.3980604410171509,-0.10192643507838106,True
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,0.38481107354164124,0.3780958354473114,1.7760677227204313,False,0.417906254529953,0.41389650106430054,0.9687816773859437,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,0.4053248167037964,0.4029088020324707,0.5996430604489511,False,0.4401552379131317,0.43718889355659485,0.6785040517395702,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,96,0.14961275458335876,0.14891685545444489,0.46730716062344246,False,0.19720417261123657,0.19556677341461182,0.8372583788317511,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,192,0.19565552473068237,0.1931014060974121,1.3226825660615837,False,0.2397983968257904,0.23863273859024048,0.4884737284734042,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,0.2514638900756836,0.2458879053592682,2.2676937721960444,False,0.2812526822090149,0.2796083986759186,0.5880665748535518,False
single_anchor_vs_r3_reference,F1-A0,F1-A0_single_prefix_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,0.3308134377002716,0.3233675956726074,2.3025937438712063,False,0.3356192409992218,0.33409297466278076,0.4568388000321111,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,96,0.3123861253261566,0.30893898010253906,1.1158013218252494,False,0.37311261892318726,0.364199161529541,2.4474129364307373,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,192,0.3623950183391571,0.36851921677589417,-1.661839643076557,True,0.4042368531227112,0.403163880109787,0.2661381799957008,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,336,0.38246604800224304,0.383066326379776,-0.15670350960002022,True,0.4207184910774231,0.4179953932762146,0.6514659838389836,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,ETTh2,720,0.40687140822410583,0.4101856052875519,-0.8079749802830549,True,0.444607138633728,0.44332125782966614,0.2900562022126074,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,96,0.15502578020095825,0.1509237140417099,2.7179732391920064,False,0.20595115423202515,0.1995583176612854,3.2034929165871473,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,192,0.19949117302894592,0.1951702982187271,2.2138997837552132,False,0.24550215899944305,0.2407691329717636,1.965794356303352,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,336,0.25414109230041504,0.24785242974758148,2.5372608044383904,False,0.28540855646133423,0.280915766954422,1.599336895761061,False
full_time_anchor_vs_single_prefix_base,F1-W0,F1-W0_full_time_future_anchor,F1-C0,F1-C0_single_prefix_base,Weather,720,0.33248984813690186,0.3234710395336151,2.7881347944750168,False,0.33860352635383606,0.3341345191001892,1.337487448373098,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,96,0.3123861253261566,0.30031517148017883,4.01942858447113,False,0.37311261892318726,0.35893383622169495,3.9502496757465977,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,192,0.3623950183391571,0.3604849576950073,0.5298586261027305,False,0.4042368531227112,0.3980604410171509,1.551626705175213,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,336,0.38246604800224304,0.3780958354473114,1.1558478420587104,False,0.4207184910774231,0.41389650106430054,1.6482357293623906,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,ETTh2,720,0.40687140822410583,0.4029088020324707,0.9834995342980379,False,0.444607138633728,0.43718889355659485,1.6968054738958793,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,96,0.15502578020095825,0.14891685545444489,4.102238613534337,False,0.20595115423202515,0.19556677341461182,5.309890139363249,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,192,0.19949117302894592,0.1931014060974121,3.309021441465032,False,0.24550215899944305,0.23863273859024048,2.8786579954555913,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,336,0.25414109230041504,0.2458879053592682,3.3564834875013716,False,0.28540855646133423,0.2796083986759186,2.0743861103179384,False
full_time_anchor_vs_r3_reference,F1-W0,F1-W0_full_time_future_anchor,F1-C1,F1-C1_r3_base,Weather,720,0.33248984813690186,0.3233675956726074,2.821016263339571,False,0.33860352635383606,0.33409297466278076,1.3500887576603615,False
