model,strategy,dataset,horizon,mse,mae,baseline_model,baseline_mse,baseline_mae,relative_mse_pct,relative_mae_pct,mse_win,mae_win
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,96,0.30479592084884644,0.35886070132255554,PatchEncoderR3PrefixRisk,0.30479592084884644,0.35886070132255554,0.0,0.0,False,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,192,0.3690433204174042,0.4003613591194153,PatchEncoderR3PrefixRisk,0.3690433204174042,0.4003613591194153,0.0,0.0,False,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,336,0.3829101622104645,0.41559359431266785,PatchEncoderR3PrefixRisk,0.3829101622104645,0.41559359431266785,0.0,0.0,False,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTh2,720,0.41047340631484985,0.43929871916770935,PatchEncoderR3PrefixRisk,0.41047340631484985,0.43929871916770935,0.0,0.0,False,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,96,0.2986849546432495,0.35228273272514343,PatchEncoderR3PrefixRisk,0.2986849546432495,0.35228273272514343,0.0,0.0,False,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,192,0.32966214418411255,0.3730504512786865,PatchEncoderR3PrefixRisk,0.32966214418411255,0.3730504512786865,0.0,0.0,False,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,336,0.36072883009910583,0.3924419581890106,PatchEncoderR3PrefixRisk,0.36072883009910583,0.3924419581890106,0.0,0.0,False,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,ETTm1,720,0.41729286313056946,0.4242476224899292,PatchEncoderR3PrefixRisk,0.41729286313056946,0.4242476224899292,0.0,0.0,False,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,96,0.14802636206150055,0.19702932238578796,PatchEncoderR3PrefixRisk,0.14802636206150055,0.19702932238578796,0.0,0.0,False,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,192,0.19240911304950714,0.23990498483181,PatchEncoderR3PrefixRisk,0.19240911304950714,0.23990498483181,0.0,0.0,False,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,336,0.24479345977306366,0.28043317794799805,PatchEncoderR3PrefixRisk,0.24479345977306366,0.28043317794799805,0.0,0.0,False,False
PatchEncoderR3PrefixRisk,D1_r3_prefix_risk,Weather,720,0.3208470046520233,0.3337559103965759,PatchEncoderR3PrefixRisk,0.3208470046520233,0.3337559103965759,0.0,0.0,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,96,0.3393581807613373,0.3825231194496155,PatchEncoderR3PrefixRisk,0.30479592084884644,0.35886070132255554,11.339475874951388,6.5937613229461345,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,192,0.38873955607414246,0.41329216957092285,PatchEncoderR3PrefixRisk,0.3690433204174042,0.4003613591194153,5.337106666626834,3.2297848323695755,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,336,0.39454904198646545,0.42475733160972595,PatchEncoderR3PrefixRisk,0.3829101622104645,0.41559359431266785,3.039584979623422,2.2049755873195354,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTh2,720,0.4192008078098297,0.44865214824676514,PatchEncoderR3PrefixRisk,0.41047340631484985,0.43929871916770935,2.126179518749516,2.1291728545843824,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,96,0.3240792751312256,0.36998727917671204,PatchEncoderR3PrefixRisk,0.2986849546432495,0.35228273272514343,8.502042065797099,5.025663992842344,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,192,0.348889023065567,0.386447012424469,PatchEncoderR3PrefixRisk,0.32966214418411255,0.3730504512786865,5.832298072634168,3.5910856292664217,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,336,0.3757131099700928,0.4025302529335022,PatchEncoderR3PrefixRisk,0.36072883009910583,0.3924419581890106,4.1538902967279245,2.570646316985492,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,720,0.4250832498073578,0.4301449954509735,PatchEncoderR3PrefixRisk,0.41729286313056946,0.4242476224899292,1.866887110971449,1.3900780224606502,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,96,0.15470075607299805,0.204793781042099,PatchEncoderR3PrefixRisk,0.14802636206150055,0.19702932238578796,4.508922544975125,3.940763010445747,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,192,0.20070676505565643,0.24629350006580353,PatchEncoderR3PrefixRisk,0.19240911304950714,0.23990498483181,4.312504680593943,2.662935594469751,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,336,0.2568790018558502,0.28697192668914795,PatchEncoderR3PrefixRisk,0.24479345977306366,0.28043317794799805,4.937036346473667,2.33166017979598,False,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,720,0.3384815454483032,0.3417808413505554,PatchEncoderR3PrefixRisk,0.3208470046520233,0.3337559103965759,5.496246042691144,2.4044311138772256,False,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,96,0.3293387293815613,0.3772241175174713,PatchEncoderR3PrefixRisk,0.30479592084884644,0.35886070132255554,8.052210300047303,5.117143261226076,False,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,192,0.3811121881008148,0.4083828032016754,PatchEncoderR3PrefixRisk,0.3690433204174042,0.4003613591194153,3.270311916162094,2.0035510169870374,False,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,336,0.3881532549858093,0.4195951521396637,PatchEncoderR3PrefixRisk,0.3829101622104645,0.41559359431266785,1.3692749090485234,0.9628535862334031,False,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,720,0.41725024580955505,0.44679519534111023,PatchEncoderR3PrefixRisk,0.41047340631484985,0.43929871916770935,1.6509813767343173,1.7064643820504655,False,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,96,0.32095444202423096,0.36792057752609253,PatchEncoderR3PrefixRisk,0.2986849546432495,0.35228273272514343,7.455845041669473,4.439004057899698,False,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,192,0.34422871470451355,0.38344356417655945,PatchEncoderR3PrefixRisk,0.32966214418411255,0.3730504512786865,4.4186361028658805,2.7859805187874676,False,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,336,0.3686576187610626,0.39862963557243347,PatchEncoderR3PrefixRisk,0.36072883009910583,0.3924419581890106,2.197991399738819,1.5767114739659638,False,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,720,0.4148603081703186,0.42550989985466003,PatchEncoderR3PrefixRisk,0.41729286313056946,0.4242476224899292,-0.5829371108821757,0.2975331617234511,True,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,96,0.15553639829158783,0.21009062230587006,PatchEncoderR3PrefixRisk,0.14802636206150055,0.19702932238578796,5.073445111734265,6.629114774352107,False,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,192,0.19911304116249084,0.24954983592033386,PatchEncoderR3PrefixRisk,0.19240911304950714,0.23990498483181,3.4842050912935463,4.020279568298912,False,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,336,0.25184962153434753,0.2885369658470154,PatchEncoderR3PrefixRisk,0.24479345977306366,0.28043317794799805,2.8824960306641056,2.889739351925069,False,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,720,0.3299425542354584,0.341327965259552,PatchEncoderR3PrefixRisk,0.3208470046520233,0.3337559103965759,2.834855694943972,2.268740306045447,False,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,96,0.3099328875541687,0.36720460653305054,PatchEncoderR3PrefixRisk,0.30479592084884644,0.35886070132255554,1.6853790861163676,2.325109765361355,False,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,192,0.3621920049190521,0.3991136848926544,PatchEncoderR3PrefixRisk,0.3690433204174042,0.4003613591194153,-1.8565071142875311,-0.31163702448835373,True,True
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,336,0.383358895778656,0.41669410467147827,PatchEncoderR3PrefixRisk,0.3829101622104645,0.41559359431266785,0.1171903000957375,0.2648044565341623,False,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,720,0.4047425389289856,0.4391643702983856,PatchEncoderR3PrefixRisk,0.41047340631484985,0.43929871916770935,-1.3961604570963182,-0.030582577062432392,True,True
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,96,0.3301691710948944,0.37395066022872925,PatchEncoderR3PrefixRisk,0.2986849546432495,0.35228273272514343,10.54094488597519,6.150720853097136,False,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,192,0.35351642966270447,0.38883695006370544,PatchEncoderR3PrefixRisk,0.32966214418411255,0.3730504512786865,7.235979592873587,4.231732928055254,False,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,336,0.37572038173675537,0.4032398760318756,PatchEncoderR3PrefixRisk,0.36072883009910583,0.3924419581890106,4.155906150758959,2.7514687503583435,False,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,720,0.4192851185798645,0.4283705949783325,PatchEncoderR3PrefixRisk,0.41729286313056946,0.4242476224899292,0.4774238012001941,0.9718316072593103,False,False
PatchEncoderIntervalSupervision,D3_interval_supervision,Weather,96,0.16391021013259888,0.21500720083713531,PatchEncoderR3PrefixRisk,0.14802636206150055,0.19702932238578796,10.730418453774515,9.12446849720483,False,False
PatchEncoderIntervalSupervision,D3_interval_supervision,Weather,192,0.2068440169095993,0.253033310174942,PatchEncoderR3PrefixRisk,0.19240911304950714,0.23990498483181,7.50219344152272,5.47230202504374,False,False
PatchEncoderIntervalSupervision,D3_interval_supervision,Weather,336,0.25902462005615234,0.2907499372959137,PatchEncoderR3PrefixRisk,0.24479345977306366,0.28043317794799805,5.8135377866229465,3.678865469273651,False,False
PatchEncoderIntervalSupervision,D3_interval_supervision,Weather,720,0.33511534333229065,0.34208548069000244,PatchEncoderR3PrefixRisk,0.3208470046520233,0.3337559103965759,4.447084895101994,2.495707202167341,False,False
PatchEncoderComponentTop,D4_component_basis_top,ETTh2,96,0.3257633447647095,0.37105199694633484,PatchEncoderR3PrefixRisk,0.30479592084884644,0.35886070132255554,6.879168152076787,3.3972222589013334,False,False
PatchEncoderComponentTop,D4_component_basis_top,ETTh2,192,0.38373658061027527,0.40832215547561646,PatchEncoderR3PrefixRisk,0.3690433204174042,0.4003613591194153,3.9814459116215284,1.9884027703649387,False,False
PatchEncoderComponentTop,D4_component_basis_top,ETTh2,336,0.3876643478870392,0.4199615716934204,PatchEncoderR3PrefixRisk,0.3829101622104645,0.41559359431266785,1.2415929755245303,1.0510213440552585,False,False
PatchEncoderComponentTop,D4_component_basis_top,ETTh2,720,0.4216581881046295,0.4492962956428528,PatchEncoderR3PrefixRisk,0.41047340631484985,0.43929871916770935,2.7248493124547135,2.2758036932328807,False,False
PatchEncoderComponentTop,D4_component_basis_top,ETTm1,96,0.3260294198989868,0.3722500503063202,PatchEncoderR3PrefixRisk,0.2986849546432495,0.35228273272514343,9.154952343815781,5.667980779732273,False,False
PatchEncoderComponentTop,D4_component_basis_top,ETTm1,192,0.35262787342071533,0.3887755870819092,PatchEncoderR3PrefixRisk,0.32966214418411255,0.3730504512786865,6.966444173758912,4.215283951358972,False,False
PatchEncoderComponentTop,D4_component_basis_top,ETTm1,336,0.3770797848701477,0.40425845980644226,PatchEncoderR3PrefixRisk,0.36072883009910583,0.3924419581890106,4.5327551908034724,3.0110189216160377,False,False
PatchEncoderComponentTop,D4_component_basis_top,ETTm1,720,0.422872930765152,0.43110403418540955,PatchEncoderR3PrefixRisk,0.41729286313056946,0.4242476224899292,1.3372065826193102,1.6161343828492658,False,False
PatchEncoderComponentTop,D4_component_basis_top,Weather,96,0.15334199368953705,0.2033962458372116,PatchEncoderR3PrefixRisk,0.14802636206150055,0.19702932238578796,3.5910033550834664,3.231459852943641,False,False
PatchEncoderComponentTop,D4_component_basis_top,Weather,192,0.19869713485240936,0.24475225806236267,PatchEncoderR3PrefixRisk,0.19240911304950714,0.23990498483181,3.2680478087772746,2.0204970871909866,False,False
PatchEncoderComponentTop,D4_component_basis_top,Weather,336,0.25464653968811035,0.2858160138130188,PatchEncoderR3PrefixRisk,0.24479345977306366,0.28043317794799805,4.025058481619981,1.9194718343986006,False,False
PatchEncoderComponentTop,D4_component_basis_top,Weather,720,0.3361685872077942,0.3410050868988037,PatchEncoderR3PrefixRisk,0.3208470046520233,0.3337559103965759,4.775354712252344,2.1719994392351394,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTh2,96,0.3229062557220459,0.3705160915851593,PatchEncoderR3PrefixRisk,0.30479592084884644,0.35886070132255554,5.941790435634031,3.2478870546840843,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTh2,192,0.378947913646698,0.40700310468673706,PatchEncoderR3PrefixRisk,0.3690433204174042,0.4003613591194153,2.6838565234269307,1.6589377111542847,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTh2,336,0.3840312361717224,0.4189293384552002,PatchEncoderR3PrefixRisk,0.3829101622104645,0.41559359431266785,0.2927772809126372,0.802645706811056,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTh2,720,0.41965451836586,0.44875526428222656,PatchEncoderR3PrefixRisk,0.41047340631484985,0.43929871916770935,2.23671300253927,2.1526457287272427,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTm1,96,0.32498449087142944,0.37156009674072266,PatchEncoderR3PrefixRisk,0.2986849546432495,0.35228273272514343,8.805109135675139,5.472128556076505,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTm1,192,0.3523262143135071,0.38850030303001404,PatchEncoderR3PrefixRisk,0.32966214418411255,0.3730504512786865,6.874938639219952,4.141491237544637,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTm1,336,0.37678319215774536,0.4038759171962738,PatchEncoderR3PrefixRisk,0.36072883009910583,0.3924419581890106,4.4505347837678455,2.91354142152056,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,ETTm1,720,0.42217034101486206,0.43049156665802,PatchEncoderR3PrefixRisk,0.41729286313056946,0.4242476224899292,1.1688380787779007,1.4717688060206013,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,Weather,96,0.15297061204910278,0.20378194749355316,PatchEncoderR3PrefixRisk,0.14802636206150055,0.19702932238578796,3.340114503082936,3.427218358160622,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,Weather,192,0.1983979046344757,0.24529187381267548,PatchEncoderR3PrefixRisk,0.19240911304950714,0.23990498483181,3.112530113595846,2.2454260317442243,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,Weather,336,0.25394758582115173,0.2862110733985901,PatchEncoderR3PrefixRisk,0.24479345977306366,0.28043317794799805,3.7395304827892106,2.06034660123684,False,False
PatchEncoderComponentBalanced,D5_component_basis_balanced,Weather,720,0.3345353901386261,0.3409922122955322,PatchEncoderR3PrefixRisk,0.3208470046520233,0.3337559103965759,4.266327965707095,2.168141948515001,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTh2,96,0.3257633447647095,0.37105199694633484,PatchEncoderR3PrefixRisk,0.30479592084884644,0.35886070132255554,6.879168152076787,3.3972222589013334,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTh2,192,0.38373658061027527,0.40832215547561646,PatchEncoderR3PrefixRisk,0.3690433204174042,0.4003613591194153,3.9814459116215284,1.9884027703649387,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTh2,336,0.3876643478870392,0.4199615716934204,PatchEncoderR3PrefixRisk,0.3829101622104645,0.41559359431266785,1.2415929755245303,1.0510213440552585,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTh2,720,0.4216581881046295,0.4492962956428528,PatchEncoderR3PrefixRisk,0.41047340631484985,0.43929871916770935,2.7248493124547135,2.2758036932328807,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTm1,96,0.3260294198989868,0.3722500503063202,PatchEncoderR3PrefixRisk,0.2986849546432495,0.35228273272514343,9.154952343815781,5.667980779732273,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTm1,192,0.35262787342071533,0.3887755870819092,PatchEncoderR3PrefixRisk,0.32966214418411255,0.3730504512786865,6.966444173758912,4.215283951358972,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTm1,336,0.3770797848701477,0.40425845980644226,PatchEncoderR3PrefixRisk,0.36072883009910583,0.3924419581890106,4.5327551908034724,3.0110189216160377,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTm1,720,0.422872930765152,0.43110403418540955,PatchEncoderR3PrefixRisk,0.41729286313056946,0.4242476224899292,1.3372065826193102,1.6161343828492658,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,Weather,96,0.15334199368953705,0.2033962458372116,PatchEncoderR3PrefixRisk,0.14802636206150055,0.19702932238578796,3.5910033550834664,3.231459852943641,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,Weather,192,0.19869713485240936,0.24475225806236267,PatchEncoderR3PrefixRisk,0.19240911304950714,0.23990498483181,3.2680478087772746,2.0204970871909866,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,Weather,336,0.25464653968811035,0.2858160138130188,PatchEncoderR3PrefixRisk,0.24479345977306366,0.28043317794799805,4.025058481619981,1.9194718343986006,False,False
PatchEncoderCurriculumUnits,D6_curriculum_units,Weather,720,0.3361685872077942,0.3410050868988037,PatchEncoderR3PrefixRisk,0.3208470046520233,0.3337559103965759,4.775354712252344,2.1719994392351394,False,False
