model,strategy,dataset,scope,mode,mean_step_weight,weighted_pressure_share,pressure_share_delta_pct
PatchEncoderFullTimeMSE720,full_time_mse720,ETTh2,1-96,uniform,1.0,0.4797619047619047,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,ETTh2,97-192,uniform,1.0,0.22976190476190472,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,ETTh2,193-336,uniform,1.0,0.15714285714285714,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,ETTh2,337-720,uniform,1.0,0.13333333333333333,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,ETTh2,horizon_96,uniform,1.0,1.0,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,ETTh2,horizon_192,uniform,1.0,1.0,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,ETTh2,horizon_336,uniform,1.0,1.0,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,ETTh2,horizon_720,uniform,1.0,1.0,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,Weather,1-96,uniform,1.0,0.4797619047619047,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,Weather,97-192,uniform,1.0,0.22976190476190472,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,Weather,193-336,uniform,1.0,0.15714285714285714,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,Weather,337-720,uniform,1.0,0.13333333333333333,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,Weather,horizon_96,uniform,1.0,1.0,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,Weather,horizon_192,uniform,1.0,1.0,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,Weather,horizon_336,uniform,1.0,1.0,0.0
PatchEncoderFullTimeMSE720,full_time_mse720,Weather,horizon_720,uniform,1.0,1.0,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,ETTh2,1-96,uniform,1.0,0.4797619047619047,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,ETTh2,97-192,uniform,1.0,0.22976190476190472,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,ETTh2,193-336,uniform,1.0,0.15714285714285714,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,ETTh2,337-720,uniform,1.0,0.13333333333333333,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,ETTh2,horizon_96,uniform,1.0,1.0,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,ETTh2,horizon_192,uniform,1.0,1.0,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,ETTh2,horizon_336,uniform,1.0,1.0,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,ETTh2,horizon_720,uniform,1.0,1.0,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,Weather,1-96,uniform,1.0,0.4797619047619047,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,Weather,97-192,uniform,1.0,0.22976190476190472,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,Weather,193-336,uniform,1.0,0.15714285714285714,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,Weather,337-720,uniform,1.0,0.13333333333333333,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,Weather,horizon_96,uniform,1.0,1.0,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,Weather,horizon_192,uniform,1.0,1.0,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,Weather,horizon_336,uniform,1.0,1.0,0.0
PatchEncoderHorizonMixedUniform,mixed_horizon_uniform,Weather,horizon_720,uniform,1.0,1.0,0.0
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,1-96,prefix_risk,2.611813816744593,0.7217033072706209,50.42947347576219
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,97-192,prefix_risk,1.1635442232481878,0.15397550519225822,-32.98475421684097
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,193-336,prefix_risk,0.8558335255738961,0.0774594948923266,-50.70759415942852
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,337-720,prefix_risk,0.6102229179115934,0.04686169264479433,-64.85373051640426
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,horizon_96,prefix_risk,2.611813816744593,2.611813816744593,161.1813816744593
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,horizon_192,prefix_risk,1.8876790199963907,1.8876790199963907,88.76790199963907
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,horizon_336,prefix_risk,1.44545952238675,1.44545952238675,44.54595223867499
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,ETTh2,horizon_720,prefix_risk,0.9999999999999997,0.9999999999999997,-3.3306690738754696e-14
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,1-96,prefix_risk,2.611813816744593,0.7217033072706209,50.42947347576219
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,97-192,prefix_risk,1.1635442232481878,0.15397550519225822,-32.98475421684097
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,193-336,prefix_risk,0.8558335255738961,0.0774594948923266,-50.70759415942852
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,337-720,prefix_risk,0.6102229179115934,0.04686169264479433,-64.85373051640426
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,horizon_96,prefix_risk,2.611813816744593,2.611813816744593,161.1813816744593
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,horizon_192,prefix_risk,1.8876790199963907,1.8876790199963907,88.76790199963907
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,horizon_336,prefix_risk,1.44545952238675,1.44545952238675,44.54595223867499
PatchEncoderSingle720PrefixRisk,single_720_prefix_risk,Weather,horizon_720,prefix_risk,0.9999999999999997,0.9999999999999997,-3.3306690738754696e-14
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,1-96,prefix_risk,2.611813816744593,0.7217033072706209,50.42947347576219
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,97-192,prefix_risk,1.1635442232481878,0.15397550519225822,-32.98475421684097
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,193-336,prefix_risk,0.8558335255738961,0.0774594948923266,-50.70759415942852
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,337-720,prefix_risk,0.6102229179115934,0.04686169264479433,-64.85373051640426
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,horizon_96,prefix_risk,2.611813816744593,2.611813816744593,161.1813816744593
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,horizon_192,prefix_risk,1.8876790199963907,1.8876790199963907,88.76790199963907
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,horizon_336,prefix_risk,1.44545952238675,1.44545952238675,44.54595223867499
PatchEncoderR3PrefixRisk,r3_prefix_risk,ETTh2,horizon_720,prefix_risk,0.9999999999999997,0.9999999999999997,-3.3306690738754696e-14
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,1-96,prefix_risk,2.611813816744593,0.7217033072706209,50.42947347576219
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,97-192,prefix_risk,1.1635442232481878,0.15397550519225822,-32.98475421684097
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,193-336,prefix_risk,0.8558335255738961,0.0774594948923266,-50.70759415942852
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,337-720,prefix_risk,0.6102229179115934,0.04686169264479433,-64.85373051640426
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,horizon_96,prefix_risk,2.611813816744593,2.611813816744593,161.1813816744593
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,horizon_192,prefix_risk,1.8876790199963907,1.8876790199963907,88.76790199963907
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,horizon_336,prefix_risk,1.44545952238675,1.44545952238675,44.54595223867499
PatchEncoderR3PrefixRisk,r3_prefix_risk,Weather,horizon_720,prefix_risk,0.9999999999999997,0.9999999999999997,-3.3306690738754696e-14
